date,collected_at,handle,followers,follower_precision,follower_source,total_posts,status,source,profile_url
2026-09-08,2026-09-08T11:01:16,personalisedposing,2042,exact,apify,184,ok,apify_instagram_scraper,https://www.instagram.com/personalisedposing/
2026-09-08,2026-09-08T11:01:16,theposinginstitute,9335,exact,apify,1134,ok,apify_instagram_scraper,https://www.instagram.com/theposinginstitute/
2026-09-08,2026-09-08T11:01:16,internationalposingacademy,7552,exact,apify,771,ok,apify_instagram_scraper,https://www.instagram.com/internationalposingacademy/
2026-09-08,2026-09-08T11:01:16,wf.coaching,3582,exact,apify,1171,ok,apify_instagram_scraper,https://www.instagram.com/wf.coaching/
2026-09-08,2026-09-08T11:01:16,australianposingschool,10438,exact,apify,2322,ok,apify_instagram_scraper,https://www.instagram.com/australianposingschool/
2026-09-08,2026-09-08T11:01:16,melgreen_coaching,2856,exact,apify,736,ok,apify_instagram_scraper,https://www.instagram.com/melgreen_coaching/
2026-09-08,2026-09-08T11:01:16,donnaatkins_theposingcoach,20080,exact,apify,1546,ok,apify_instagram_scraper,https://www.instagram.com/donnaatkins_theposingcoach/
2026-09-08,2026-09-08T11:01:16,tahnee.sheehan,88286,exact,apify,1968,ok,apify_instagram_scraper,https://www.instagram.com/tahnee.sheehan/
2026-09-08,2026-09-08T11:01:16,natkitneyposingcoach,19152,exact,apify,6359,ok,apify_instagram_scraper,https://www.instagram.com/natkitneyposingcoach/
2026-09-14,2026-09-14T00:47:59,personalisedposing,2054,exact,apify,189,ok,apify_instagram_scraper,https://www.instagram.com/personalisedposing/
2026-09-14,2026-09-14T00:47:59,theposinginstitute,9422,exact,apify,1155,ok,apify_instagram_scraper,https://www.instagram.com/theposinginstitute/
2026-09-14,2026-09-14T00:47:59,internationalposingacademy,7586,exact,apify,780,ok,apify_instagram_scraper,https://www.instagram.com/internationalposingacademy/
2026-09-14,2026-09-14T00:47:59,wf.coaching,3586,exact,apify,1174,ok,apify_instagram_scraper,https://www.instagram.com/wf.coaching/
2026-09-14,2026-09-14T00:47:59,australianposingschool,10455,exact,apify,2339,ok,apify_instagram_scraper,https://www.instagram.com/australianposingschool/
2026-09-14,2026-09-14T00:47:59,melgreen_coaching,2866,exact,apify,741,ok,apify_instagram_scraper,https://www.instagram.com/melgreen_coaching/
2026-09-14,2026-09-14T00:47:59,donnaatkins_theposingcoach,20155,exact,apify,1553,ok,apify_instagram_scraper,https://www.instagram.com/donnaatkins_theposingcoach/
2026-09-14,2026-09-14T00:47:59,tahnee.sheehan,88301,exact,apify,1969,ok,apify_instagram_scraper,https://www.instagram.com/tahnee.sheehan/
2026-09-14,2026-09-14T00:47:59,natkitneyposingcoach,19160,exact,apify,6370,ok,apify_instagram_scraper,https://www.instagram.com/natkitneyposingcoach/
2026-09-21,2026-09-21T00:53:08,personalisedposing,2081,exact,apify,194,ok,apify_instagram_scraper,https://www.instagram.com/personalisedposing/
2026-09-21,2026-09-21T00:53:08,theposinginstitute,9491,exact,apify,1174,ok,apify_instagram_scraper,https://www.instagram.com/theposinginstitute/
2026-09-21,2026-09-21T00:53:08,internationalposingacademy,7645,exact,apify,794,ok,apify_instagram_scraper,https://www.instagram.com/internationalposingacademy/
2026-09-21,2026-09-21T00:53:08,wf.coaching,3581,exact,apify,1180,ok,apify_instagram_scraper,https://www.instagram.com/wf.coaching/
2026-09-21,2026-09-21T00:53:08,australianposingschool,10484,exact,apify,2358,ok,apify_instagram_scraper,https://www.instagram.com/australianposingschool/
2026-09-21,2026-09-21T00:53:08,melgreen_coaching,2874,exact,apify,743,ok,apify_instagram_scraper,https://www.instagram.com/melgreen_coaching/
2026-09-21,2026-09-21T00:53:08,donnaatkins_theposingcoach,20390,exact,apify,1562,ok,apify_instagram_scraper,https://www.instagram.com/donnaatkins_theposingcoach/
2026-09-21,2026-09-21T00:53:08,tahnee.sheehan,88333,exact,apify,1971,ok,apify_instagram_scraper,https://www.instagram.com/tahnee.sheehan/
2026-09-21,2026-09-21T00:53:08,natkitneyposingcoach,19178,exact,apify,6388,ok,apify_instagram_scraper,https://www.instagram.com/natkitneyposingcoach/
