date,rank,handle,current_followers,comparison_followers,follower_change_30d_plus,growth_percent_30d_plus,comparison_date,comparison_days,comparison_source,current_total_posts,posts_since_previous_snapshot,previous_post_snapshot_date,ahead_of_nba,ahead_of_target
2026-09-20,1,ifbbproleagueoz,58234,56490,1744,3.09,2026-08-18,33,instagram_snapshot,8182,132,2026-09-13,yes,yes
2026-09-20,2,nbaaustralia_official,18601,18308,293,1.6,2026-08-18,33,instagram_snapshot,3378,23,2026-09-13,no,no
2026-09-20,3,icnqld,17908,17776,132,0.74,2026-08-18,33,instagram_snapshot,6839,44,2026-09-13,no,no
2026-09-20,4,icn_nsw,16217,15884,333,2.1,2026-08-18,33,instagram_snapshot,6907,59,2026-09-13,no,no
2026-09-20,5,nabbaaustralia,15720,15878,-158,-1.0,2026-08-18,33,instagram_snapshot,2977,2,2026-09-13,no,no
2026-09-20,6,msfitnessaustralia,15534,15363,171,1.11,2026-08-18,33,instagram_snapshot,3603,7,2026-09-13,no,no
2026-09-20,7,icn_victoria,13019,12683,336,2.65,2026-08-18,33,instagram_snapshot,4478,10,2026-09-13,no,no
2026-09-20,8,pca_australia,11437,11394,43,0.38,2026-08-18,33,instagram_snapshot,2857,5,2026-09-13,no,no
2026-09-20,9,icn_wa,11088,10973,115,1.05,2026-08-18,33,instagram_snapshot,4387,12,2026-09-13,no,no
2026-09-20,10,anb.australia,9759,9589,170,1.77,2026-08-18,33,instagram_snapshot,2759,11,2026-09-13,no,no
2026-09-20,11,wnbfaustralia,7433,7190,243,3.38,2026-08-18,33,instagram_snapshot,897,42,2026-09-13,no,no
2026-09-20,12,icn_sa,6737,6697,40,0.6,2026-08-18,33,instagram_snapshot,3127,4,2026-09-13,no,no
2026-09-20,13,icnnewzealand,6560,6434,126,1.96,2026-08-18,33,instagram_snapshot,1129,26,2026-09-13,no,no
2026-09-20,14,icn_act,4615,4581,34,0.74,2026-08-18,33,instagram_snapshot,1899,9,2026-09-13,no,no
2026-09-20,15,ynf_australia,4606,4638,-32,-0.69,2026-08-18,33,instagram_snapshot,815,0,2026-09-13,no,no
2026-09-20,16,cbrfitexpo,2285,2125,160,7.53,2026-08-18,33,instagram_snapshot,338,1,2026-09-13,no,no
2026-09-20,17,icn_tasmania,2273,2277,-4,-0.18,2026-08-18,33,instagram_snapshot,2154,3,2026-09-13,no,no
2026-09-20,18,icn.indonesia,1844,1836,8,0.44,2026-08-18,33,instagram_snapshot,176,0,2026-09-13,no,no
2026-09-20,19,dfba_global,1841,1830,11,0.6,2026-08-18,33,instagram_snapshot,212,1,2026-09-13,no,no
2026-09-20,20,icn_nt,1475,1413,62,4.39,2026-08-18,33,instagram_snapshot,333,6,2026-09-13,no,no
2026-09-20,21,msfitnessaustralia_perth,1442,1448,-6,-0.41,2026-08-18,33,instagram_snapshot,1357,0,2026-09-13,no,no
2026-09-20,22,msfitnessaustralia_vic,952,915,37,4.04,2026-08-18,33,instagram_snapshot,688,12,2026-09-13,no,no
